song_id,title,artist,genre,valence,arousal,tags,reference_lyrics,bow_keywords,bow_keywords_base,bow_keywords_with_freq,lang,spotify_id,release
nCemAOYM4hunfFnS,I Don't Want Control of You - Remastered,Teenage Fanclub,"power pop, indie rock, power pop",0.667,0.842,"power pop,indie,scottish,indie rock,alternative,power pop,indie,scottish","I don't want control of you
Doesn't matter to me
The very heart and soul of you
Are places I wanna see

Every day I look in a different face
Feelings getting stronger with every embrace

I don't want a world of pain
Sparing every tear
Don't want this love to stay the same
But grow with every year

Every day I look in a different face
Feelings getting stronger with every embrace

Tired of situations
That mean nothing to me
You've been an inspirational figure for me

Every day I look in a different face
Feelings getting stronger with every embrace

I don't want control of you
Doesn't matter to me
Don't want this love to stay the same
But grow with every year

And every day I look in a different face
The feelings getting stronger with every embrace",every look different face feelings stronger embrace control matter heart soul places world pain sparing tear love stay same grow year tired situations mean nothing been inspirational figure,every look different face feelings stronger embrace control matter heart soul places world pain sparing tear love stay same grow year tired situations mean nothing been inspirational figure,every:6 look:2 different:2 face:2 feelings:2 stronger:2 embrace:2 control:1 matter:1 heart:1 soul:1 places:1 world:1 pain:1 sparing:1 tear:1 love:1 stay:1 same:1 grow:1 year:1 tired:1 situations:1 mean:1 nothing:1 been:1 inspirational:1 figure:1,en,111u5fg74ftDxTHfeIn8h1,1997
pgAQbyhPZk9GIklA,Fury,Muse,"alternative rock, rock, progressive rock",0.146,0.69,"alternative rock,rock,alternative,progressive rock,muse,epic","You're so happy now
Burning the candle at both ends
Your self loving soothes
And softens the blows you've invented

Breathe in deep
And cleanse away our sins
And we'll pray
That there's no God to punish us
And make a fuss

Cracks healing up
The future soul forgives this mess
You waste twenty years
And wind up alone demented

Breathe in deep
And cleanse away our sins
And we'll pray
That there's no God to punish us
And make a fuss

Breathe in deep
And cleanse away our sins
And we'll pray
That there's no God to punish us
And make a fuss",happy now burning candle both ends self loving soothes softens blows invented breathe deep cleanse sins pray god punish fuss cracks healing future soul forgives mess waste twenty years wind alone demented,happy now burning candle both ends self loving soothes softens blows invented breathe deep cleanse sins pray god punish fuss cracks healing future soul forgives mess waste twenty years wind alone demented,happy:1 now:1 burning:1 candle:1 both:1 ends:1 self:1 loving:1 soothes:1 softens:1 blows:1 invented:1 breathe:1 deep:1 cleanse:1 sins:1 pray:1 god:1 punish:1 fuss:1 cracks:1 healing:1 future:1 soul:1 forgives:1 mess:1 waste:1 twenty:1 years:1 wind:1 alone:1 demented:1,en,5Lwp4ZWFVxvCtcpfP22Jvm,2004
sU8fQyEdwjax8DWy,Devil's Night,Motionless in White,"metalcore, screamo, post-hardcore",0.197,0.991,"metalcore,screamo,post-hardcore","Go!

I am an enemy of everything
My life is not for sale
My heart is in this fight forever
What can you take from me?
When there's not a single fucking day I haven't fought to stay alive

We're finding hope in the hopeless
I am still their voice that gets stuck in your head

I am me
And I have come to scare you to death
Because that's what you deserve
You disgusting piece of shit

I know the only words that you have for me
Are give up and get out
You'd like to think, that we've been beaten
But we're here to stay, forever and always

Every single day not giving up, living up all my dreams
So go ahead and look like I'm inferior (inferior)

Condescension, suffering
Callousness and loathing
Are the badges I have earned for my cause
And i am finding hope within hatred
A reason to persist to push past everything

We are here, and we have come to scare you to death
Because that's what you deserve
You fucking fake ass hypocrites

I know the only words that you have for me
Are give up and get out
You'd like to think, that we've been beaten
But we're here to stay, forever and always
So loud, we are the ones that you pushed away
For drowning your voice out
You'd like to think, we've been defeated
But we're here to stay forever and always

We've been through everything and we all have our scars
We may be broken but you can't kill all of us

Go!

Think before you fucking speak
I am no villain
Think before you fucking speak
People fear what they don't understand
And so now beauty has become the fucking beast

Maybe you didn't hear me
I said go fuck yourself!

I know the only words that you have for me
Are give up and get out
You'd like to think, that we've been beaten
But we're here to stay, forever and always
So Loud, we are the ones that you pushed away
For drowning your voice out
You'd like to think that we've been defeated
But we're here to stay forever and always",have fucking think been everything forever what stay here all single finding hope voice scare death out always inferior loud ones pushed defeated enemy life sale heart fight can when fought alive hopeless their stuck head because deserve disgusting piece shit only words give beaten every giving living dreams ahead,have fucking think been everything forever what stay here all single finding hope voice scare death out always inferior loud ones pushed defeated enemy life sale heart fight can when fought alive hopeless their stuck head because deserve disgusting piece shit only words give beaten every giving living dreams ahead,have:5 fucking:4 think:4 been:4 everything:3 forever:3 what:3 stay:3 here:3 all:3 single:2 finding:2 hope:2 voice:2 scare:2 death:2 out:2 always:2 inferior:2 loud:2 ones:2 pushed:2 defeated:2 enemy:1 life:1 sale:1 heart:1 fight:1 can:1 when:1 fought:1 alive:1 hopeless:1 their:1 stuck:1 head:1 because:1 deserve:1 disgusting:1 piece:1 shit:1 only:1 words:1 give:1 beaten:1 every:1 giving:1 living:1 dreams:1 ahead:1,en,79SZRWIbDwQeuGvgsAA0EC,2012
9ewHGB44bT6eFip3,Be Strong,Delta Goodrem,pop,0.177,0.484,"inspirational,pop,medicine for the soul","Are you swimming upstream, in notions of blue?
Do you feel like you're sinking?
Are you sick of the rain, after all you've been through
Well I know what you're thinking.
When you can't take it, you can make it
Sometime soon I know you will see,

'Cause when you're in your darkest hour,
And all of the light just fades away.
And when you're like a single flower,
Whose colours have turned to shades of grey,
Well hang on
Be strong.

You're taking each step one day at a time,
You can't lose your spirit.
Well let live and let live,
Forget and forgive,
And it's all how you see it.
And just remember, keep it together
Don't you know you're never alone?

'Cause when you're in your darkest hour,
And all of the light just fades away.
And when you're like a single flower,
Whose colours have turned to shades of grey,
Well hang on
Be strong.

No you're not defeated ohh
And soon you'll be smiling once again.
Then you won't have to feel it,
Let it go with the wind.
Time passes us by, and know that you're allowed to cry

'Cause when you're in your darkest hour,
And all of the light just fades away.
And when you're like a single flower,
Whose colours have turned to shades of grey,
Well hang on
Be strong.

Oh woah huuh
Hang on
Hang on
Be strong
Da da da dn dada da
Hold on and be strong.",all when strong feel soon have hang live swimming upstream notions blue sinking sick rain after been through what thinking can sometime will darkest hour light fades single flower whose colours turned shades grey taking each step lose spirit forget forgive how remember keep together alone defeated ohh smiling once,all when strong feel soon have hang live swimming upstream notions blue sinking sick rain after been through what thinking can sometime will darkest hour light fades single flower whose colours turned shades grey taking each step lose spirit forget forgive how remember keep together alone defeated ohh smiling once,all:3 when:3 strong:3 feel:2 soon:2 have:2 hang:2 live:2 swimming:1 upstream:1 notions:1 blue:1 sinking:1 sick:1 rain:1 after:1 been:1 through:1 what:1 thinking:1 can:1 sometime:1 will:1 darkest:1 hour:1 light:1 fades:1 single:1 flower:1 whose:1 colours:1 turned:1 shades:1 grey:1 taking:1 each:1 step:1 lose:1 spirit:1 forget:1 forgive:1 how:1 remember:1 keep:1 together:1 alone:1 defeated:1 ohh:1 smiling:1 once:1,en,1DJ0VhYrietyUDRF7H1lUo,2004
MA4OogB7wWrehsXd,Unless It's with You,Christina Aguilera,"pop, soul",0.238,0.497,"pop,soul,rnb,best of 2018","Never wanted to feel weak in love, give up control
Never wanted to let down my guard, be vulnerable
Never wanted to feel helpless or too comfortable
I make it on my own, hey

I've been thinking a lot about the way that people change
The most beautiful beginnings can go down in flames
It's inevitable, and that's what's got me so afraid
I'd rather be alone

I don't want no white picket fence
Dozen roses and a wedding dress
Fairy tales are fake happiness
But here we are and I must confess

Yeah, I'm in over my head feeling confused
I'm losing my mind, don't know what to do
'Cause I don't want to get married
Unless it's with you, unless it's with you, ooh

You came into my life when I wasn't trying to find
Anybody to love, hiding what I felt inside
But you opened me up and now I finally realize
I'll be your girl for life

Oh, we don't need a big audience
Thousand people we never met
Me and you and a couple of friends
And here we are and I must confess

Yeah, I'm in over my head feeling confused
I'm losing my mind, don't know what to do
'Cause I don't want to get married
Unless it's with you, unless it's with you

And oh, I know that it's scary
But I know that it's true, I'm saying ""I do""
'Cause I don't want to get married
Unless it's with you, unless it's with you

Beating heart and trembling hands
Take me just the way I am
'Cause all that I want is one and the same
For the rest of my days, for the rest of my days

You can ask me in a hundred years
If I would still be standing here
When we're old and gray, I'd answer the same
Our love will remain, oh, our love will remain

I was over my head feeling confused
Been losing my mind, don't know what to do, ooh
'Cause I don't want to get married
Unless it's with you, unless it's with you

And oh, I know that it's scary
(But I know that it's true, I'm saying ""I do"")
'Cause I don't want to get married
Unless it's with you, unless it's with you, ooh
Ey, ooh, ey ey ey, unless it's with you, you",unless love wanted here what feel down been way people can must confess over head feeling confused losing mind life when true saying same rest days will remain weak give control guard vulnerable helpless comfortable own thinking lot about change most beautiful beginnings flames inevitable afraid rather alone white picket,unless love wanted here what feel down been way people can must confess over head feeling confused losing mind life when true saying same rest days will remain weak give control guard vulnerable helpless comfortable own thinking lot about change most beautiful beginnings flames inevitable afraid rather alone white picket,unless:5 love:4 wanted:3 here:3 what:3 feel:2 down:2 been:2 way:2 people:2 can:2 must:2 confess:2 over:2 head:2 feeling:2 confused:2 losing:2 mind:2 life:2 when:2 true:2 saying:2 same:2 rest:2 days:2 will:2 remain:2 weak:1 give:1 control:1 guard:1 vulnerable:1 helpless:1 comfortable:1 own:1 thinking:1 lot:1 about:1 change:1 most:1 beautiful:1 beginnings:1 flames:1 inevitable:1 afraid:1 rather:1 alone:1 white:1 picket:1,en,7fklxl8AxKiGz5fFZEglIm,2018
gPl2GqhKcwEGxN6p,What Took You So Long,Emma Bunton,pop,0.911,0.772,"pop,female vocalists,emma bunton,british","Yeah, yeah, yeah

Oh talk to me, can't you see
I'll help you work things out
Oh don't wannabe your enemy
And I don't wanna scream and shout

Cos baby I believe in honesty
A man that's stong and true
I shouldn't have to say now baby
That I believe in you

What took you so long
What took you all night
What took you forever to see I'm right
You know I treat you so good
I make you feel fine

And no I'll never give it up this time
No, no, no
Oh you touched my heart, right from the start
You didn't know what to say
But honey understand, when you take my hand
Everything's okay

Cos baby I believe reality
It's never far away
I've had enough, so listen baby
I've got something to say

What took you so long
What took you all night
What took you forever to see I'm right
You know I treat you so good
I make you feel fine

You know I'll never give it up this time
What took you so long (what took you so long)
What took you all night (what took you all night)
What took you forever to see I'm right
You know I treat you so good (I treat you so good)
I make you feel fine (I make you feel fine)
You know I'll never give it up this time
No, no, no

(No, no, no)
No, no, no (no, no, no)
Oh whoa
Oh whoa

A man that's stong and true
Baby I believe in honesty
and then be strong and true

I shouldn't have to say now baby
That I believe in you
What took you so long
What took you all night
What took you forever to see I'm right
I make you feel fine
You know I treat you so good
You know I'll never give it up this time
What took you so long (what took you so long)
What took you all night (what took you all night)
What took you forever to see I'm right
I make you feel fine (I make you feel fine)
You know I'll never give it up this time
You know I treat you so good (I treat you so good)
No, no, no",what took believe long all treat good feel fine cos honesty true give talk help work out wannabe enemy scream shout man stong have now forever touched heart start honey understand when hand everythings okay reality far had enough listen something whoa strong,what took believe long all treat good feel fine cos honesty true give talk help work out wannabe enemy scream shout man stong have now forever touched heart start honey understand when hand everythings okay reality far had enough listen something whoa strong,what:8 took:7 believe:4 long:3 all:3 treat:3 good:3 feel:3 fine:3 cos:2 honesty:2 true:2 give:2 talk:1 help:1 work:1 out:1 wannabe:1 enemy:1 scream:1 shout:1 man:1 stong:1 have:1 now:1 forever:1 touched:1 heart:1 start:1 honey:1 understand:1 when:1 hand:1 everythings:1 okay:1 reality:1 far:1 had:1 enough:1 listen:1 something:1 whoa:1 strong:1,en,6WJtzSaXumGZ7pIa0z7QIP,2001
2hUNruuxnKGrUtAP,Think Twice,Erykah Badu,soul,0.468,0.54,"neo-soul,soul,female vocalists","Maybe
May be

Maybe we ought to think twice
before we start something nice
no need to sacrifice the spice in our lives... oh oh oh
Your loves like fire and ice
that's why we ought to think twice baby
no need to sacrifice the spice in our lives... oh oh oh

I really love you
you know I do
I really love you
you know its true

I really love you
You know I do
I really love you
You know its true

(instrumental)

You know I love you baby
you know i do
You know I love you baby
you know I do
think twice
think twice
You know I love you baby
you know I do
think twice
think twice
you know I love you baby
You know I do
think twice
think twice
I really love you

World wide underground",think twice love maybe ought true may before start something nice sacrifice spice lives loves fire ice why really instrumental world wide underground,think twice love maybe ought true may before start something nice sacrifice spice lives loves fire ice why really instrumental world wide underground,think:3 twice:3 love:3 maybe:2 ought:2 true:2 may:1 before:1 start:1 something:1 nice:1 sacrifice:1 spice:1 lives:1 loves:1 fire:1 ice:1 why:1 really:1 instrumental:1 world:1 wide:1 underground:1,en,20kTcoOe7jB8lYOejYIkjv,2003
2DKWFcpWhs9w6Za2,Gimme Love,Alexia,eurodance,0.883,0.951,"eurodance,dance,italian","Gimme love, gimme love
Gimme baby, gimme, gimme love

Gimme love, gimme, gimme love
Gimme baby, gimme, gimme love
Gimme love, gimme, gimme love
Baby, gimme your love

Oh, gimme your love

I remember when I saw you
Never thought that you could care about me
Then we had a conversation
Boy, we couldn? t imagine how we would be

Gimme love
Gimme baby, gimme, gimme love
Baby, gimme your love

When I spend my time without you
Everything in this world means nothing to me
'Cause you give me something, baby
Boy, this is more than I need to be real

Gimme love
Gimme baby, gimme, gimme love
Gimme love, gimme, gimme love
Baby, gimme your love
Oh, gimme your love

I'll need you baby, gimme your love
I'll need you love

When I spend my time without you
Everything in this world means nothing to me
'Cause you give me something, baby
Boy, this is more than I need to be real

Gimme love
Gimme baby, gimme, gimme love
Gimme love, gimme, gimme love
Baby, gimme your love
Oh, gimme your love

Gimme love
Gimme love, gimme love
Gimme love, gimme love, gimme love
Baby, give me your love

Gimme love
Gimme baby, gimme, gimme love
Gimme love, gimme, gimme love
Baby, gimme your love
Oh, gimme your love

Gimme love
Gimme baby, gimme, gimme love
Gimme love, gimme, gimme love
Baby, gimme your love
Oh, gimme your love

Gimme love",gimme love when boy give remember saw thought could care about had conversation couldn imagine how would spend without everything world means nothing something more real,gimme love when boy give remember saw thought could care about had conversation couldn imagine how would spend without everything world means nothing something more real,gimme:15 love:14 when:2 boy:2 give:2 remember:1 saw:1 thought:1 could:1 care:1 about:1 had:1 conversation:1 couldn:1 imagine:1 how:1 would:1 spend:1 without:1 everything:1 world:1 means:1 nothing:1 something:1 more:1 real:1,en,0HpKiHLs905QJ8jYveKF4s,2017
fWfMlU7lpVsJniy4,Fixed,New Hope Club,"pop, rock",0.685,0.648,"pop,rock,uk,under 20000 listeners","I'm a shipwreck waiting for you
You're the rock that stop me going
Anywhere, anywhere
Going anywhere, anywhere

You're the storm that took me under
Before I knew it was you
I was already going down, going down
I was going down, going down

Anytime that you leave
I find it hard just to breathe
I come apart in every way
You never put me back again

Every time you go I come a little undone
Even when it hurts, I'm holding on to your love
Like I'm fixed, fixed, fixed
You got me fixed on you
You can walk away but I could never let go
Don't know how you did it but I'm set in stone
Like I'm fixed, fixed, fixed
You got me fixed on you

I'll be here if you ever come calling
By the ocean I'm a ghost of everything, everything
That we ever did, ever did
You got me caught, got me hooked, got me fixed up
You got me chained but I wouldn't wanna change for anything, anything
Not for anything, anything

Anytime that you leave
I find it hard just to breathe
I come apart in every way
You never put me back again

Every time you go I come a little undone
Even when it hurts, I'm holding on to your love
Like I'm fixed, fixed, fixed
You got me fixed on you
You can walk away but I could never let go
Don't know how you did it but I'm set in stone
Like I'm fixed, fixed, fixed
You got me fixed on you

Stuck standing on a cliff
It's the way you get your kicks
Ain't the way I wanna live
But that's the way you got me fixed

Stuck standing on a cliff
It's the way you get your kicks
Ain't the way I wanna live
But that's the way you got me fixed

Stuck standing on a cliff
It's the way you get your kicks
Ain't the way I wanna live
But that's the way you got me fixed

Stuck standing on a cliff
It's the way you get your kicks
Ain't the way I wanna live
But that's the way you got me

Every time you go I come a little undone
Even when it hurts, I'm holding on to your love (hold on)
Like I'm fixed, fixed, fixed (hold on)
You got me fixed on you
You can walk away but I could never let go (never let go no)
Don't know how you did it but I'm set in stone
Like I'm fixed, fixed, fixed
You got me fixed on you",fixed way anywhere down anything did every even when hurts holding love can walk could everything hold shipwreck waiting rock stop storm took under before knew already anytime leave find hard breathe apart put again little undone how set stone here calling ocean ghost caught hooked chained change stuck standing,fixed way anywhere down anything did every even when hurts holding love can walk could everything hold shipwreck waiting rock stop storm took under before knew already anytime leave find hard breathe apart put again little undone how set stone here calling ocean ghost caught hooked chained change stuck standing,fixed:9 way:5 anywhere:4 down:4 anything:4 did:3 every:2 even:2 when:2 hurts:2 holding:2 love:2 can:2 walk:2 could:2 everything:2 hold:2 shipwreck:1 waiting:1 rock:1 stop:1 storm:1 took:1 under:1 before:1 knew:1 already:1 anytime:1 leave:1 find:1 hard:1 breathe:1 apart:1 put:1 again:1 little:1 undone:1 how:1 set:1 stone:1 here:1 calling:1 ocean:1 ghost:1 caught:1 hooked:1 chained:1 change:1 stuck:1 standing:1,en,2X8ls8BFKQkKijAhGWOAPR,2017
YrYMRnfJTYdnv1Hk,Take This Lonely Heart,Nothing But Thieves,"rock, alternative rock, indie rock",0.528,0.758,"rock,alternative rock,indie rock,indie,alternative","I feel younger everyday
The more I grow, the less I seem to know
I've been trying to keep my head straight
Where I roam, it never feels like home
You feel the weight of the world coming down on your head
These people looking at you, and now they're pulling you back
I've gotten sick of all it, it's in the palm of my hand
And I think it'll be there for good

We take a piece of ourselves, we draw a line on the sand
We say ""don't cross this, or else"", and then we put up a flag
Oh, how we worship the things that we don't quite understand
Oh, it's more dangerous than you know

I've got a message that you can't ignore
Maybe I'm just not the man I was before
Take this from me, take this lonely heart
'Cause I, 'cause I don't need it no more
I've got a hunger you will never taste
Craving a desire that won't go to waste
Take this from me, take this lonely heart
And I, I'm gonna make it my own

Someone took my ego away
Hate so long, I'll miss it now it's gone
Now my youth is being replaced
So, good night, it's gonna be alright

'Cause now I drink the good wine and now I get out of bed
And now I let myself love, and I'm not scared of the end
I take it all on the chin, and now I'd do it again
Because maybe it's time for a change
I've got a pain in my neck, because I keep looking up
I'm searching what's coming next, but it won't come from above
And there's a hole in my chest, like there's a hole in the sun
So tell me, what's coming next? I'm searching what's coming next
I've got a pain in my neck, because I keep looking up
I'm searching what's coming next, but it won't come from above
And there's a hole in my chest and I'll make it my heart

I've got a message that you can't ignore
Maybe I'm just not the man I was before
Take this from me, take this lonely heart
'Cause I, 'cause I don't need it no more
I've got a hunger you will never taste
Craving a desire that won't go to waste
Take this from me, take this lonely heart
And I, I'm gonna make it my own

There's a chance that you take that you risk your own fate
When you break all the chains that you feel comfortable in
There's a chance that I'll take so that my hunger can be free
In the end, in the end, in the end, in the end",now end feel more all good next hole keep head looking maybe heart hunger gonna own because searching chest chance younger everyday grow less seem been trying straight where roam feels home weight world down people pulling gotten sick palm hand think itll there piece ourselves draw line sand cross,now end feel more all good next hole keep head looking maybe heart hunger gonna own because searching chest chance younger everyday grow less seem been trying straight where roam feels home weight world down people pulling gotten sick palm hand think itll there piece ourselves draw line sand cross,now:7 end:5 feel:3 more:3 all:3 good:3 next:3 hole:3 keep:2 head:2 looking:2 maybe:2 heart:2 hunger:2 gonna:2 own:2 because:2 searching:2 chest:2 chance:2 younger:1 everyday:1 grow:1 less:1 seem:1 been:1 trying:1 straight:1 where:1 roam:1 feels:1 home:1 weight:1 world:1 down:1 people:1 pulling:1 gotten:1 sick:1 palm:1 hand:1 think:1 itll:1 there:1 piece:1 ourselves:1 draw:1 line:1 sand:1 cross:1,en,4E3WT2j2DDQG3QPVCevYEK,2018
